ID,Nome,Tipo,Documento,Email,Telefone,Endereco,Status
1,Lara Silva,Fornecedor,54.628.713/0001-23,rda-rosa@example.org,+55 71 1354 4138,"Rodovia da Rosa, 26, Santa Inês, 82542652 Sales / RN",Ativo
2,Lavínia Melo,Cliente,046.793.158-57,rezendeeduardo@example.net,+55 (081) 4470-6211,"Núcleo Diogo Pires, Coração De Jesus, 89436171 Aparecida do Amparo / PI",Inativo
3,Alana da Mata,Fornecedor,784.296.135-28,email_invalid,ABC123,"Vale Pastor, 79, Parque São José, 17358670 da Mata / SE",Desativo
4,Marcela Sales,Fornecedor,51.647.238/0001-44,mgoncalves@example.net,+55 21 8380 9690,"Loteamento de Cavalcanti, Custodinha, 16799-348 Mendes / AM",Inativo
5,Melina Nunes,Fornecedor,37.084.652/0001-61,alexiacamara@example.org,+55 (061) 4624 4947,"Vale de Fonseca, 19, Distrito Industrial Do Jatoba, 06077084 Oliveira / PA",Inativo
6,Sr. Davi Lucas Guerra,Cliente,013.679.852-77,freitasotavio@example.org,51 3741 7078,"Lago de Sampaio, 10, Jatobá, 42903340 Monteiro do Norte / PA",Ativo
7,Ana Sophia da Luz,Cliente,306.428.975-65,livia59@example.net,31 5247 4466,"Aeroporto João Vitor Freitas, 6, Jardim Guanabara, 06364542 Sales das Flores / BA",Inativo
8,Heloisa Carvalho,Cliente,843.605.297-83,asousa@example.org,31 9381 2123,"Residencial da Cruz, 1, Serra, 68230-340 Fernandes do Amparo / PI",Inativo
9,Théo Pereira,Fornecedor,753.148.260-62,email_invalid,ABC123,"Recanto Liz Sousa, 6, Novo Das Industrias, 52082216 Pereira dos Dourados / AM",
10,José Duarte,Fornecedor,15.027.496/0001-64,joao-felipe91@example.org,61 6799 6700,"Pátio Pastor, 228, Europa, 57621-306 Alves do Sul / MS",Ativo
11,Antônio Nogueira,Fornecedor,61.958.423/0001-03,ana-vitoriaoliveira@example.com,61 1272-3119,"Núcleo Andrade, 180, Capitão Eduardo, 26179485 Ramos de Gomes / ES",Inativo
12,Antony Moura,Fornecedor,31.056.872/0001-03,aparecidaaylla@example.org,+55 84 0773-0848,"Morro Monteiro, 317, Flavio De Oliveira, 34179356 Nogueira da Praia / AL",Ativo
13,José Miguel das Neves,Cliente,413.785.602-80,melissa40@example.org,+55 31 9046 9246,"Campo de Silva, 51, Nova Floresta, 99242324 Pastor / PR",Ativo
14,Oliver Siqueira,Fornecedor,23.108.647/0001-37,dalbuquerque@example.org,(021) 9490 2129,"Passarela de Rezende, 11, Ouro Minas, 39248-852 Rios / RN",Ativo
15,André Cardoso,Cliente,375.481.906-20,fernandesmaria-liz@example.net,+55 84 9311 0656,"Núcleo de Melo, 69, Ribeiro De Abreu, 08133305 Aparecida / MT",Ativo
16,Joana da Mota,Cliente,057.238.196-40,fonsecavitoria@example.net,+55 (051) 2057-7670,"Conjunto Ramos, 8, Santa Rosa, 55584539 Castro de Peixoto / RJ",Inativo
17,Ana Sophia Marques,Cliente,517.406.239-16,caldeiraisaque@example.org,11 9117-7799,"Ladeira Ana Liz Albuquerque, 15, Cdi Jatoba, 24586823 Ramos / AC",Inativo
18,Emilly Silveira,Fornecedor,43.581.267/0001-22,epacheco@example.org,(061) 3742 1580,"Praça Alves, 11, Novo São Lucas, 13569523 Barbosa de Ribeiro / RN",Inativo
19,Ana Liz Dias,Cliente,057.238.614-17,oliveiraana-vitoria@example.com,+55 (011) 1441 9575,"Lago Luiza Melo, 4, Gutierrez, 18439-923 Teixeira de Mendonça / PR",Ativo
20,João Vitor Novais,Fornecedor,98.041.276/0001-12,enzorios@example.com,+55 (051) 0710 8495,"Núcleo de Barros, 225, Camponesa 2ª Seção, 79813-989 Pacheco de Goiás / RO",Inativo
21,Olivia Almeida,Cliente,140.397.852-23,bernardocampos@example.com,71 8998-1583,"Chácara de Costela, 51, Novo Das Industrias, 90334-571 Sousa / AP",Ativo
22,Sra. Amanda Sales,Fornecedor,42.067.891/0001-43,maria-julia73@example.net,+55 (031) 2856-0989,"Vila de Azevedo, Diamante, 82546028 Correia das Flores / PA",Inativo
23,Nicole Sousa,Fornecedor,73.526.109/0001-30,eduardoalves@example.net,51 9582 8919,"Rua de Mendonça, 769, Lindéia, 27695-025 Rodrigues / RR",Inativo
24,Maya Caldeira,Fornecedor,94.826.057/0001-98,evelynlopes@example.org,(081) 5617 1819,"Ladeira de da Conceição, 504, Senhor Dos Passos, 31206692 Souza de Farias / BA",Inativo
25,Luana Fernandes,Cliente,096.841.527-01,maria-luisarodrigues@example.com,+55 61 7098-9239,"Vereda Mirella Carvalho, 65, Vila Vista Alegre, 53752-568 Barbosa das Pedras / GO",Inativo
26,Sophia Castro,Cliente,301.954.876-48,catarina43@example.com,+55 41 1177 9760,"Colônia de Ribeiro, 829, Sagrada Família, 63963339 Cirino / ES",Inativo
27,Enrico Pires,Cliente,240.153.897-60,ana-vitoriamartins@example.net,31 7075 1215,"Morro Zoe Pereira, 17, Garças, 25594544 Camargo / AP",Ativo
28,Maria Clara da Mota,Cliente,158.643.209-51,franciscoborges@example.com,+55 31 6470-0835,"Favela de Pimenta, 47, Barão Homem De Melo 2ª Seção, 20623321 Aparecida da Serra / GO",Ativo
29,Beatriz Borges,Fornecedor,19.324.085/0001-91,da-costabrayan@example.com,+55 (011) 9841-7022,"Fazenda de da Mota, 5, Pirineus, 23237-680 Novaes do Galho / PE",Ativo
30,Ana Sophia Nunes,Cliente,458.103.276-80,caldeiragabriela@example.org,+55 (051) 7388-9105,"Pátio Siqueira, 11, São Damião, 46470662 Azevedo Paulista / PB",Ativo
31,Ana Cecília Nunes,Fornecedor,106.827.354-26,email_invalid,ABC123,"Parque Nascimento, 7, Goiania, 45053-315 Melo / TO",
32,Otto Monteiro,Fornecedor,86.051.934/0001-78,vieiramaria-luisa@example.com,+55 41 8713 5288,"Trecho Isabelly Campos, Nova Pampulha, 40703161 Rezende de da Paz / MT",Ativo
33,Yago Vargas,Cliente,296.530.184-42,theo38@example.org,31 5840-8648,"Parque Sophia Correia, 15, Sport Club, 43010125 Martins / MS",Inativo
34,Valentina Guerra,Cliente,41.569.078/0001-09,email_invalid,ABC123,"Conjunto de Sampaio, 34, Nossa Senhora Da Conceição, 89045468 Viana / GO",Desativo
